hex,last_seen,alt_first,alt_last,baro_rate_med,gs_avg,lat_last,lon_last,track_last,flight,category,rssi_last,nac_p_last,dist_km,bearing,hdg_diff,phase,target_time,state
4bb20f,2026-02-18 09:03:41.627615,32375.0,10625.0,-1216.0,267.8,41.238144,28.91095,247.8,THY1HN,A3,-15.5,9.0,50.3996233179043,138.38342263999817,109.41657736000184,ARRIVAL,2026-02-18 09:12:26.670483422,"[50.4, 10625.0, 267.8, 109.4, -1216.0, 3, -15.5]"
4bb213,2026-02-18 09:06:24.849282,19625.0,9500.0,896.0,230.0,40.987289,29.356201,253.2,THY373,A3,-8.5,9.0,10.622570834224526,201.83195569659676,51.368044303403224,ARRIVAL,2026-02-18 09:17:01.796996284,"[10.62, 9500.0, 230.0, 51.4, 896.0, 3, -8.5]"
4bb263,2026-02-18 05:29:36.228872,17700.0,12400.0,768.0,346.6,41.244553,29.469116,342.2,THY151,A3,-17.0,9.0,40.73709215965709,199.26518419834218,142.9348158016578,ARRIVAL,2026-02-18 05:45:45.845871998,"[40.74, 12400.0, 346.6, 142.9, 768.0, 3, -17.0]"
4bb265,2026-02-18 06:19:47.995466,23550.0,14175.0,-896.0,321.4,41.171684,29.401724,317.8,THY1JM,A3,-16.4,9.0,31.34152728784256,194.36648763173642,123.43351236826359,ARRIVAL,2026-02-18 06:35:38.083216000,"[31.34, 14175.0, 321.4, 123.4, -896.0, 3, -16.4]"
4bb266,2026-02-18 05:21:05.867107,18625.0,13550.0,832.0,337.0,41.250683,29.61758,303.5,THY4FD,A3,-15.5,9.0,46.91395388775253,213.53742404930222,89.96257595069778,ARRIVAL,2026-02-18 05:37:23.900568538,"[46.91, 13550.0, 337.0, 90.0, 832.0, 3, -15.5]"
4bb272,2026-02-18 08:11:44.435645,31900.0,6225.0,-1024.0,224.6,40.990409,29.120324,256.1,THY4DU,A3,-15.3,9.0,18.86470184090355,122.70025279083194,133.39974720916808,ARRIVAL,2026-02-18 08:17:50.063738750,"[18.86, 6225.0, 224.6, 133.4, -1024.0, 3, -15.3]"
4bb275,2026-02-18 06:01:43.949924,10825.0,14575.0,-960.0,324.6,41.126083,29.38501,329.2,THY141,A3,-16.1,9.0,26.082447140924177,194.14005607794027,135.05994392205972,ARRIVAL,2026-02-18 06:16:55.772424002,"[26.08, 14575.0, 324.6, 135.1, -960.0, 3, -16.1]"
4bb27a,2026-02-18 08:35:12.293621,8700.0,11450.0,-1088.0,325.8,41.182484,28.942171,184.0,THY580,A3,-14.0,0.0,44.0904731780063,135.60015848081719,48.399841519182814,ARRIVAL,2026-02-18 08:45:44.617444528,"[44.09, 11450.0, 325.8, 48.4, -1088.0, 3, -14.0]"
4bb284,2026-02-18 05:04:47.802779,10925.0,13000.0,-1536.0,341.0,41.118195,29.383122,324.9,THY1YH,A3,-16.0,9.0,25.19335538807239,194.27732867748054,130.62267132251944,ARRIVAL,2026-02-18 05:13:16.515279002,"[25.19, 13000.0, 341.0, 130.6, -1536.0, 3, -16.0]"
4bb289,2026-02-18 09:06:24.849282,16750.0,7675.0,768.0,234.9,41.009682,29.3006,274.9,THY8UP,A3,-12.0,9.0,12.372850865216314,176.65088010866384,98.24911989133614,ARRIVAL,2026-02-18 09:16:25.363656998,"[12.37, 7675.0, 234.9, 98.2, 768.0, 3, -12.0]"
4bb28c,2026-02-18 05:56:05.640406,28375.0,14950.0,-1088.0,364.4,41.128902,29.385244,324.0,THY4EN,A3,-15.7,9.0,26.391258973199733,194.01522373550105,129.98477626449895,ARRIVAL,2026-02-18 06:09:50.996935410,"[26.39, 14950.0, 364.4, 130.0, -1088.0, 3, -15.7]"
4bb28e,2026-02-18 05:18:15.632763,23725.0,14350.0,448.0,325.7,41.257479,29.619578,302.7,THY7JK,A3,-17.8,9.0,47.6369200481532,213.20403046794524,89.49596953205474,ARRIVAL,2026-02-18 05:46:58.542763000,"[47.64, 14350.0, 325.7, 89.5, 448.0, 3, -17.8]"
4bb2a1,2026-02-18 07:43:05.508235,8250.0,6650.0,-896.0,188.0,41.007156,29.644653,245.5,TKJ206,A3,-16.0,9.0,30.648424807242375,246.9157604676334,1.4157604676333904,ARRIVAL,2026-02-18 07:50:31.749735000,"[30.65, 6650.0, 188.0, 1.4, -896.0, 3, -16.0]"
4bb2a3,2026-02-18 08:19:36.749784,1350.0,2675.0,-448.0,136.4,40.934509,29.437622,243.4,TKJ1XH,A3,-16.4,9.0,11.505841084482222,249.73616132703597,6.336161327035967,ARRIVAL,2026-02-18 08:24:58.680784000,"[11.51, 2675.0, 136.4, 6.3, -448.0, 3, -16.4]"
